Player,Salary
Stephen Curry,"$48,070,014.00"
Russell Westbrook,"$47,063,478.00"
LeBron James,"$44,474,988.00"
Kevin Durant,"$44,119,845.00"
Bradley Beal,"$43,279,250.00"
Damian Lillard,"$42,492,492.00"
Giannis Antetokounmpo,"$42,492,492.00"
Kawhi Leonard,"$42,492,492.00"
Paul George,"$42,492,492.00"
John Wall,"$47,345,760.00"
Klay Thompson,"$40,600,080.00"
Rudy Gobert,"$38,172,414.00"
Anthony Davis,"$37,980,720.00"
Khris Middleton,"$37,948,276.00"
Jimmy Butler,"$37,653,300.00"
Tobias Harris,"$37,633,050.00"
Luka DonÄiÄ‡,"$37,096,500.00"
Trae Young,"$37,096,500.00"
Zach LaVine,"$37,096,500.00"
Kyrie Irving,"$36,934,550.00"
Ben Simmons,"$35,448,672.00"
Pascal Siakam,"$35,448,672.00"
Devin Booker,"$33,833,400.00"
Karl-Anthony Towns,"$33,833,400.00"
Kristaps PorziÅ†Ä£is,"$33,833,400.00"
Jrue Holiday,"$33,665,040.00"
Joel Embiid,"$33,616,770.00"
Andrew Wiggins,"$33,616,770.00"
CJ McCollum,"$33,333,333.00"
Nikola JokiÄ‡,"$33,047,803.00"
James Harden,"$33,000,000.00"
Brandon Ingram,"$31,650,600.00"
Jamal Murray,"$31,650,600.00"
D'Angelo Russell,"$31,377,750.00"
Shai Gilgeous-Alexander,"$30,913,750.00"
Michael Porter Jr.,"$30,913,750.00"
Deandre Ayton,"$30,913,750.00"
De'Aaron Fox,"$30,351,780.00"
Bam Adebayo,"$30,351,780.00"
Donovan Mitchell,"$30,351,780.00"
Jayson Tatum,"$30,351,780.00"
Gordon Hayward,"$30,075,000.00"
Jaren Jackson Jr.,"$28,946,605.00"
Kevin Love,"$28,942,830.00"
Jaylen Brown,"$28,741,071.00"
Chris Paul,"$28,400,000.00"
Kyle Lowry,"$28,333,334.00"
Jalen Brunson,"$27,733,332.00"
Kemba Walker,"$9,165,471.00"
DeMar DeRozan,"$27,300,000.00"
Al Horford,"$26,500,000.00"
Draymond Green,"$25,806,468.00"
Julius Randle,"$23,760,000.00"
John Collins,"$23,500,000.00"
Mike Conley,"$22,680,000.00"
Malcolm Brogdon,"$22,600,000.00"
Anfernee Simons,"$22,321,429.00"
Nikola VuÄeviÄ‡,"$22,000,000.00"
Terry Rozier,"$21,486,316.00"
Fred VanVleet,"$21,250,000.00"
Buddy Hield,"$21,177,750.00"
Jerami Grant,"$20,955,000.00"
Spencer Dinwiddie,"$20,171,427.00"
Mikal Bridges,"$20,100,000.00"
Jarrett Allen,"$20,000,000.00"
Aaron Gordon,"$19,690,909.00"
Tim Hardaway Jr.,"$19,602,273.00"
Eric Gordon,"$19,568,360.00"
Bojan BogdanoviÄ‡,"$19,550,000.00"
Lonzo Ball,"$19,534,884.00"
Caris LeVert,"$18,796,296.00"
Clint Capela,"$18,706,896.00"
Joe Harris,"$18,642,857.00"
Domantas Sabonis,"$18,500,000.00"
Harrison Barnes,"$18,352,273.00"
Evan Fournier,"$18,000,000.00"
Myles Turner,"$18,000,000.00"
Bogdan BogdanoviÄ‡,"$18,000,000.00"
Steven Adams,"$17,926,829.00"
Gary Trent Jr.,"$17,505,000.00"
Jonathan Isaac,"$17,400,000.00"
OG Anunoby,"$17,357,143.00"
Marcus Smart,"$17,207,142.00"
Mitchell Robinson,"$17,045,454.00"
Duncan Robinson,"$16,902,000.00"
Derrick White,"$16,892,857.00"
Norman Powell,"$16,758,621.00"
Dejounte Murray,"$16,571,120.00"
Collin Sexton,"$16,500,000.00"
Markelle Fultz,"$16,500,000.00"
Lauri Markkanen,"$16,475,454.00"
Marcus Morris,"$16,372,093.00"
DÄvis BertÄns,"$16,000,000.00"
Jusuf NurkiÄ‡,"$15,625,000.00"
Malik Beasley,"$15,558,035.00"
Luguentz Dort,"$15,277,778.00"
Tyus Jones,"$15,000,000.00"
Jonas ValanÄiÅ«nas,"$14,700,000.00"
Derrick Rose,"$14,520,730.00"
Kevin Huerter,"$14,508,929.00"
Luke Kennard,"$14,415,545.00"
Will Barton,"$14,375,000.00"
Christian Wood,"$14,317,459.00"
Wendell Carter Jr.,"$14,150,000.00"
Kentavious Caldwell-Pope,"$14,004,703.00"
Brook Lopez,"$13,906,976.00"
Doug McDermott,"$13,750,000.00"
Zion Williamson,"$13,534,817.00"
Jordan Clarkson,"$13,340,000.00"
Kyle Kuzma,"$13,000,000.00"
Gary Harris,"$13,000,000.00"
Patrick Beverley,"$13,000,000.00"
Josh Hart,"$12,960,000.00"
Kelly Olynyk,"$12,804,878.00"
Chris Boucher,"$12,690,000.00"
Kelly Oubre Jr.,"$12,600,000.00"
Marvin Bagley III,"$12,500,000.00"
Dorian Finney-Smith,"$12,402,000.00"
Robert Covington,"$12,307,692.00"
Josh Richardson,"$12,196,094.00"
Ja Morant,"$12,119,440.00"
Devonte' Graham,"$11,550,000.00"
Terrence Ross,"$11,500,000.00"
Dillon Brooks,"$11,400,000.00"
Richaun Holmes,"$11,215,260.00"
Reggie Jackson,"$11,215,260.00"
Dwight Powell,"$11,080,125.00"
Paolo Banchero,"$11,055,120.00"
Robert Williams,"$10,937,502.00"
RJ Barrett,"$10,900,635.00"
Bobby Portis,"$10,843,350.00"
Nicolas Batum,"$19,700,319.00"
Anthony Edwards,"$10,733,400.00"
Cade Cunningham,"$10,552,800.00"
P.J. Tucker,"$10,490,000.00"
Danilo Gallinari,"$16,907,880.00"
Mo Bamba,"$10,300,000.00"
Talen Horton-Tucker,"$10,260,000.00"
